ville,lat,lon
Santa Bàrbara,40.7145779,0.4912486
Sant Jaume de Frontanyà,42.1874392,2.0238488
Ampolla,40.8122038,0.7054495
Montellà i Martinet,42.3229252,1.6931213
Sunyer,41.5223145,0.592929
Sitges,41.2366707,1.8228136
Camós,42.0938831,2.7674256
Palau de Santa Eulàlia,42.1734468,2.9646635
Rourell,41.223574,1.2168848
Borredà,42.1355536,1.9941054
Oluges,41.6967254,1.3200824
Vilassar de Mar,41.5064041,2.3913883
Folgueroles,41.9392868,2.3180742
Cubelles,41.2083363,1.6730541
Castelldans,41.4980663,0.7663389
Torres de Segre,41.5352381,0.5135629
Castellet i la Gornal,41.2532183,1.5917346
Font-rubí,41.4365689,1.5878667
Caldes de Malavella,41.8398724,2.8099858
Tortellà,42.233331,2.630869
Vajol,42.4039078,2.800086
Preses,42.1450901,2.4592158
Sant Vicenç de Castellet,41.6669999,1.8625559
Orpí,41.5185604,1.5755145
Calders,41.7892144,1.9916386
Montoliu de Segarra,41.5901454,1.2695473
Viladecans,41.3163083,2.0156034
Josa i Tuixén,42.2449098,1.5879768
Bigues i Riells del Fai,41.6829678,2.2083886
Arenys de Munt,41.6095429,2.5400513
Santa Eulàlia de Ronçana,41.6523952,2.229264
Fondarella,41.6342812,0.8739685
Talarn,42.1860349,0.8995312
Súria,41.8328065,1.7526606
Querol,41.4234071,1.3955114
Horta de Sant Joan,40.9554904,0.315402
Torrefarrera,41.6735377,0.6066894
Papiol,41.4379916,2.0108896
Viladrau,41.8478521,2.3920004
Martorelles,41.52851,2.2374755
Poal,42.0266468,0.5162549
Xerta,40.9080065,0.4911048
Granadella,41.3555437,0.6648954
Cervià de Ter,42.0676956,2.9122136
Quar,42.1050263,1.9807775
Vilaür,42.1437984,2.9550356
Cabrils,41.5262354,2.3676258
Matadepera,41.6012311,2.0275199
Soriguera,42.3848227,1.1834819
Castellbell i el Vilar,41.6402768,1.8472035
Aspa,41.4954721,0.6739097
Pontons,41.4155898,1.516296
Ullastrell,41.5265763,1.9560471
Prat de Comte,40.9829428,0.4042537
Parets del Vallès,41.5729887,2.2329289
Gualba,41.7321147,2.5018684
Castellgalí,41.6732765,1.8378043
Fortià,42.2424345,3.0404198
Sant Climent Sescebes,42.3693761,2.9802226
Olivella,41.3103129,1.8114946
Cabanelles,42.2302177,2.8187019
Tiurana,41.9755539,1.2563829
Armentera,41.3832207,1.3611833
Garrigàs,42.1929222,2.9539294
Vila-rodona,41.3108464,1.3566414
Alòs de Balaguer,41.9124041,0.9607021
Maspujols,41.1817965,1.0457853
Capolat,42.0776191,1.752867
Ullastret,42.0008975,3.0689759
Sant Llorenç de Morunys,42.1360783,1.5885869
Argentona,41.5554326,2.4002787
Aitona,41.4939531,0.4591083
Omells de na Gaia,41.5003209,1.0749613
Alfés,41.5214162,0.6200114
Conesa,41.5190356,1.2898307
Gósol,42.2365129,1.6605511
Beuda,42.2372601,2.7097379
Pineda de Mar,41.6276807,2.6898707
Montmajor,42.0180704,1.735819
Massanes,41.7654696,2.6528719
Collbató,41.570256,1.8285814
Sant Agustí de Lluçanès,42.0855048,2.1272825
Maials,41.3640737,0.5053309
Bescanó,41.9670349,2.7389937
Rialp,42.4430046,1.1354914
Santa Maria de Martorelles,41.5198085,2.2537044
Campins,41.7250261,2.4640701
Altafulla,41.1423467,1.3753629
Massalcoreig,41.4591786,0.3596468
Montesquiu,42.108728,2.2086111
Vallgorguina,41.6473229,2.5100384
Marganell,41.640666,1.7900194
Calafell,41.2014639,1.5665246
Cerdanyola del Vallès,41.4910324,2.1374969
Vallromanes,41.5323208,2.2989347
Castell de Mur,42.1209291,0.796629
Òrrius,41.5551821,2.3549387
Pallaresos,41.1635682,1.2415422
Bassella,42.0062092,1.2960417
Sant Just Desvern,41.3815832,2.0750677
Garrigoles,42.1071682,3.030074
Sant Esteve Sesrovires,41.4932429,1.8747348
Ripoll,42.1982391,2.1932496
Galera,37.7426081,-2.5507542
Guardiola de Berguedà,42.2338584,1.8792389
Riu de Cerdanya,42.3451931,1.8261265
Cabanyes,41.8538163,3.0496189
Gimenells i el Pla de la Font,41.6714077,0.3842872
Torrelameu,41.7044727,0.703576
Montferrer i Castellbò,42.3957216,1.3376396
Cambrils,41.0679423,1.0657579
Pobla de Cérvoles,41.3674223,0.9157069
Gisclareny,42.249978,1.7866137
Senan,41.4696984,1.0859593
Cabrera d'Anoia,41.4773537,1.7041083
Olèrdola,41.3214217,1.7234463
Castellví de la Marca,41.3375741,1.6026645
Guils de Cerdanya,42.4479402,1.879737
Abella de la Conca,42.1614592,1.0923357
Canet d'Adri,42.0332009,2.7377666
Albanyà,42.3046915,2.7193001
Corçà,41.9893624,3.0170799
Vallclara,41.3774766,0.9810775
Sant Gregori,41.9910304,2.7564765
Cunit,41.197596,1.6329521
Pobla de Massaluca,41.1821736,0.3523658
Sant Martí de Riucorb,41.5550892,1.0798514
Ametlla del Vallès,41.669334,2.2614527
Puigcerdà,42.4317966,1.9278693
Castellfollit de Riubregós,41.7762237,1.4383714
Preixens,41.7948485,1.0509201
Sant Martí Sarroca,41.3854214,1.6108158
Fogars de Montclús,41.7471607,2.4394274
Maçanet de Cabrenys,42.3861179,2.7485579
Benavent de Segrià,41.6957038,0.6327181
Espluga Calba,41.4958498,1.0039347
Premià de Dalt,41.5076668,2.3437394
Palau-saverdera,42.3076083,3.146611
Blanes,41.6756178,2.7932391
Morera de Montsant,41.2650701,0.8404867
Avellanes i Santa Linya,41.9286757,0.8003329
Pobla de Lillet,42.2437379,1.9749329
Serinyà,42.1687245,2.7448646
Viver i Serrateix,41.9497667,1.801485
Seu d'Urgell,42.3575723,1.4560067
Olvan,42.0571091,1.9064046
Malla,41.887016,2.2354564
Sant Feliu de Guíxols,41.7838827,3.0283195
Vansa i Fórnols,42.2432113,1.4719326
Llanars,42.3207265,2.344001
Gallifa,41.6937007,2.1164334
Clariana de Cardener,41.9337762,1.6255629
Albagés,41.448483,0.7389506
Borrassà,42.2224982,2.9268828
Castellbisbal,41.4765136,1.9832978
Ullà,42.0500542,3.1073899
Meranges,42.4460663,1.7870102
Sant Quintí de Mediona,41.4627909,1.6652161
Tona,41.8538039,2.2280115
Arres,42.7583345,0.7090562
Casserres,42.0138199,1.843045
Barbens,41.6777676,1.0164683
Cervelló,41.3964186,1.9585925
Santpedor,41.7847594,1.8386882
Rasquera,41.003625,0.5973403
Sant Jordi Desvalls,42.0714043,2.9522691
Sant Julià de Vilatorta,41.9219404,2.3240651
Vila-sana,41.6628331,0.9289367
Fornells de la Selva,41.9319675,2.8090343
Sant Salvador de Guardiola,41.6797988,1.7671087
Vilallonga del Camp,41.2080149,1.2074709
Sant Pere Sallavinera,41.7365708,1.5745225
Riudarenes,41.8218536,2.7163817
Ribes de Freser,42.3057283,2.167817
Vallbona d'Anoia,41.5194769,1.7082922
Albinyana,41.2454739,1.4852405
Prats de Lluçanès,42.0085421,2.0298689
Pontós,42.1858949,2.9172363
Móra d'Ebre,41.0893373,0.6412887
Colldejou,41.0991567,0.8860691
